((4075,-7399,13),31.72195043617353)
((4075,-7399,14),31.528184290546584)
((4075,-7399,21),31.21857761734719)
((4075,-7399,12),30.8474941729361)
((4075,-7399,8),30.604127450536083)
((4075,-7399,15),30.457675555480122)
((4075,-7399,22),30.44167127206551)
((4075,-7399,7),30.34126344635715)
((4075,-7399,29),30.224660810050672)
((4075,-7399,20),30.079034532789912)
((4075,-7399,6),29.33045322878965)
((4075,-7399,16),28.79323008036018)
((4075,-7399,28),28.791324808525104)
((4076,-7399,13),28.521474807617572)
((4075,-7399,11),28.498738563719034)
((4075,-7399,9),28.39852126519418)
((4075,-7400,29),28.245400918715465)
((4076,-7399,14),28.219616239880807)
((4075,-7400,8),27.998223652645304)
((4076,-7399,21),27.975487408746762)
((4075,-7400,15),27.960499270310855)
((4075,-7399,10),27.955990126967848)
((4075,-7400,14),27.910517639170767)
((4075,-7400,21),27.741901081766787)
((4075,-7399,23),27.732946304141944)
((4075,-7400,22),27.730659977939858)
((4075,-7400,13),27.529082217789114)
((4076,-7399,12),27.496184524103516)
((4076,-7398,13),27.3621804050367)
((4076,-7399,7),27.226715577562995)
((4076,-7399,8),27.168668295654435)
((4075,-7400,16),27.0402529739705)
((4076,-7399,20),27.01021318803751)
((4075,-7400,7),26.917934522158802)
((4075,-7399,5),26.872080979994706)
((4076,-7399,15),26.864396383593245)
((4076,-7398,14),26.863443747675706)
((4074,-7400,29),26.862872166125186)
((4076,-7399,22),26.852964752582803)
((4075,-7399,19),26.810413681599503)
((4076,-7398,21),26.70911672903478)
((4076,-7399,29),26.65005330214751)
((4074,-7400,16),26.604263269044583)
((4075,-7400,12),26.519732708628503)
((4075,-7400,20),26.446506761100522)
((4075,-7400,9),26.431201077358768)
((4076,-7398,12),26.404146217300728)
((4074,-7401,16),26.395254948737055)
((4074,-7400,15),26.34082768331513)
((4076,-7399,6),26.316249676642684)
((4074,-7400,8),26.18288064818756)
((4076,-7398,7),26.046844239163335)
((4074,-7400,22),26.031284519176904)
((4076,-7398,20),25.98054077930279)
((4075,-7400,28),25.926748604492555)
((4074,-7400,9),25.89588320076437)
((4075,-7400,23),25.854157747576267)
((4074,-7401,29),25.835232047347873)
((4076,-7399,28),25.83326326645163)
((4075,-7400,6),25.76588015255121)
((4076,-7398,8),25.7552106302748)
((4074,-7401,9),25.69544860371467)
((4075,-7400,10),25.620190366229277)
((4075,-7399,17),25.523720102313405)
((4075,-7398,13),25.505175456452026)
((4074,-7400,23),25.431504945495863)
((4076,-7398,6),25.366281139675188)
((4075,-7399,30),25.350607853399715)
((4075,-7399,18),25.349832292832392)
((4076,-7398,15),25.338845225250136)
((4076,-7398,22),25.332621337255564)
((4074,-7401,15),25.166164087931335)
((4076,-7398,29),25.080363346291872)
((4075,-7398,14),25.059532374228404)
((4074,-7400,14),25.02873047956139)
((4074,-7401,23),25.009741270271824)
((4075,-7400,11),25.0038349275831)
((4074,-7400,10),24.97893937560481)
((4076,-7399,11),24.92349596520418)
((4075,-7398,12),24.92032051214572)
((4075,-7398,21),24.852937398245302)
((4074,-7400,21),24.835091352056782)
((4076,-7399,9),24.740780396220657)
((4074,-7401,8),24.70794621159623)
((4076,-7398,28),24.613190692331923)
((4076,-7399,16),24.605887150297477)
((4074,-7400,13),24.444637643989115)
((4074,-7401,22),24.393449340686814)
((4075,-7398,7),24.209146045174066)
((4075,-7398,20),24.20565304680977)
((4076,-7399,10),24.178153623323542)
